"uri","url","timestamp","post_type","thread_role","decision","reason","confidence","joe_tag","citizens_agenda","normalized_text_duplicate","existing_record_ids"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3monr43l7e224","https://bsky.app/profile/jayrosen.bsky.social/post/3monr43l7e224","2026-06-19T16:27:16.806Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mow7q4tzus2v","https://bsky.app/profile/jayrosen.bsky.social/post/3mow7q4tzus2v","2026-06-23T01:10:19.527Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mowgem45gc2q","https://bsky.app/profile/jayrosen.bsky.social/post/3mowgem45gc2q","2026-06-23T03:09:09.062Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mp2bxzpkhs2d","https://bsky.app/profile/jayrosen.bsky.social/post/3mp2bxzpkhs2d","2026-06-24T16:01:11.098Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mp2fkisjck26","https://bsky.app/profile/jayrosen.bsky.social/post/3mp2fkisjck26","2026-06-24T17:05:12.137Z","reply","external_thread_reply","context_only","short_comment_requires_parent_context","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpf4kza3zk2l","https://bsky.app/profile/jayrosen.bsky.social/post/3mpf4kza3zk2l","2026-06-28T23:23:42.806Z","reply","external_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mphsbuyl522r","https://bsky.app/profile/jayrosen.bsky.social/post/3mphsbuyl522r","2026-06-30T00:57:38.166Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpi4ecbers2z","https://bsky.app/profile/jayrosen.bsky.social/post/3mpi4ecbers2z","2026-06-30T03:57:56.618Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpjaisymdc2m","https://bsky.app/profile/jayrosen.bsky.social/post/3mpjaisymdc2m","2026-06-30T14:44:43.078Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplnpdhybc2z","https://bsky.app/profile/jayrosen.bsky.social/post/3mplnpdhybc2z","2026-07-01T13:46:19.807Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
